ㄅㄧㄝ	憋
ㄅㄧㄝ	鱉
ㄅㄧㄝ	虌
ㄅㄧㄝˇ	癟
ㄅㄧㄝˇ	蛂
ㄅㄧㄝˋ	彆
ㄅㄧㄝˋ	縪
ㄅㄧㄝˊ	別
ㄅㄧㄝˊ	蹩
ㄅㄧㄝˊ	咇
ㄅㄧㄝˊ	徶
ㄅㄧㄝˊ	襒
ㄅㄧㄝˊ	蟞
ㄅㄧㄥ	兵
ㄅㄧㄥ	冰
ㄅㄧㄥ	掤
ㄅㄧㄥ	栟
ㄅㄧㄥˇ	餅
ㄅㄧㄥˇ	丙
ㄅㄧㄥˇ	稟
ㄅㄧㄥˇ	柄
ㄅㄧㄥˇ	秉
ㄅㄧㄥˇ	炳
ㄅㄧㄥˇ	昺
ㄅㄧㄥˇ	邴
ㄅㄧㄥˇ	怲
ㄅㄧㄥˇ	鞞
ㄅㄧㄥˇ	鉼
ㄅㄧㄥˇ	蛃
ㄅㄧㄥˇ	陃
ㄅㄧㄥˇ	苪
ㄅㄧㄥˇ	窉
ㄅㄧㄥˇ	屏
ㄅㄧㄥˇ	庰
ㄅㄧㄥˋ	並
ㄅㄧㄥˋ	病
ㄅㄧㄥˋ	併
ㄅㄧㄥˋ	并
ㄅㄧㄥˋ	摒
ㄅㄧㄥˋ	寎
ㄅㄧㄥˋ	鵧
ㄅㄧㄥˋ	偋
ㄅㄧㄢ	邊
ㄅㄧㄢ	編
ㄅㄧㄢ	鞭
ㄅㄧㄢ	蝙
ㄅㄧㄢ	砭
ㄅㄧㄢ	籩
ㄅㄧㄢ	箯
ㄅㄧㄢ	稨
ㄅㄧㄢ	猵
ㄅㄧㄢ	甂
ㄅㄧㄢ	柉
ㄅㄧㄢ	楄
ㄅㄧㄢ	煸
ㄅㄧㄢˇ	扁
ㄅㄧㄢˇ	貶
ㄅㄧㄢˇ	匾
ㄅㄧㄢˇ	褊
ㄅㄧㄢˇ	窆
ㄅㄧㄢˇ	萹
ㄅㄧㄢˇ	惼
ㄅㄧㄢˇ	碥
ㄅㄧㄢˋ	便
ㄅㄧㄢˋ	變
ㄅㄧㄢˋ	遍
ㄅㄧㄢˋ	辨
ㄅㄧㄢˋ	辯
ㄅㄧㄢˋ	汴
ㄅㄧㄢˋ	辮
ㄅㄧㄢˋ	忭
ㄅㄧㄢˋ	弁
ㄅㄧㄢˋ	釆
ㄅㄧㄢˋ	抃
ㄅㄧㄢˋ	緶
ㄅㄧㄢˋ	艑
ㄅㄧㄢˋ	卞
ㄅㄧㄢˋ	揙
ㄅㄧㄢˋ	汳
ㄅㄧㄢˋ	鴘
ㄅㄧㄢˋ	閞
ㄅㄧˇ	比
ㄅㄧˇ	筆
ㄅㄧˇ	彼
ㄅㄧˇ	鄙
ㄅㄧˇ	匕
ㄅㄧˇ	沘
ㄅㄧˇ	秕
ㄅㄧˇ	屄
ㄅㄧˇ	蚍
ㄅㄧˇ	妣
ㄅㄧˇ	疕
ㄅㄧˇ	潷
ㄅㄧˇ	柀
ㄅㄧˇ	朼
ㄅㄧˇ	貏
ㄅㄧˇ	夶
ㄅㄧˋ	必
ㄅㄧˋ	敝
ㄅㄧˋ	畢
ㄅㄧˋ	壁
ㄅㄧˋ	避
ㄅㄧˋ	璧
ㄅㄧˋ	閉
ㄅㄧˋ	鄙
ㄅㄧˋ	臂
ㄅㄧˋ	幣
ㄅㄧˋ	弊
ㄅㄧˋ	婢
ㄅㄧˋ	斃
ㄅㄧˋ	碧
ㄅㄧˋ	泌
ㄅㄧˋ	祕
ㄅㄧˋ	俾
ㄅㄧˋ	蔽
ㄅㄧˋ	庇
ㄅㄧˋ	嗶
ㄅㄧˋ	愎
ㄅㄧˋ	辟
ㄅㄧˋ	弼
ㄅㄧˋ	裨
ㄅㄧˋ	陛
ㄅㄧˋ	埤
ㄅㄧˋ	箄
ㄅㄧˋ	篦
ㄅㄧˋ	畀
ㄅㄧˋ	比
ㄅㄧˋ	嬖
ㄅㄧˋ	睥
ㄅㄧˋ	賁
ㄅㄧˋ	贔
ㄅㄧˋ	襞
ㄅㄧˋ	毖
ㄅㄧˋ	蓽
ㄅㄧˋ	蹕
ㄅㄧˋ	髀
ㄅㄧˋ	怭
ㄅㄧˋ	庳
ㄅㄧˋ	愊
ㄅㄧˋ	楅
ㄅㄧˋ	湢
ㄅㄧˋ	狴
ㄅㄧˋ	獘
ㄅㄧˋ	篳
ㄅㄧˋ	苾
ㄅㄧˋ	薜
ㄅㄧˋ	觱
ㄅㄧˋ	詖
ㄅㄧˋ	躄
ㄅㄧˋ	邲
ㄅㄧˋ	閟
ㄅㄧˋ	柲
ㄅㄧˋ	梐
ㄅㄧˋ	珌
ㄅㄧˋ	痺
ㄅㄧˋ	飶
ㄅㄧˋ	馝
ㄅㄧˋ	駜
ㄅㄧˋ	鎞
ㄅㄧˋ	鷩
ㄅㄧˋ	皕
ㄅㄧˋ	堛
ㄅㄧˋ	鉍
ㄅㄧˋ	痹
ㄅㄧˋ	腷
ㄅㄧˋ	骳
ㄅㄧˋ	坒
ㄅㄧˋ	滭
ㄅㄧˋ	熚
ㄅㄧˋ	疪
ㄅㄧˋ	妼
ㄅㄧˋ	鏎
ㄅㄧˋ	鷝
ㄅㄧˋ	柫
ㄅㄧˋ	佖
ㄅㄧˋ	蜌
ㄅㄧˋ	彃
ㄅㄧˋ	箅
ㄅㄧˋ	蓖
ㄅㄧˋ	鄪
ㄅㄧˋ	罼
ㄅㄧˋ	鮅
ㄅㄧˋ	襒
ㄅㄧˋ	鵖
ㄅㄧˋ	襣
ㄅㄧˋ	驆
ㄅㄧˋ	鼊
ㄅㄧˋ	芘
ㄅㄧˋ	粊
ㄅㄧˋ	稗
ㄅㄧˋ	嫳
ㄅㄧˋ	獙
ㄅㄧˋ	廦
ㄅㄧˋ	鄨
ㄅㄧˋ	縪
ㄅㄧˊ	鼻
ㄅㄧㄠ	標
ㄅㄧㄠ	彪
ㄅㄧㄠ	鑣
ㄅㄧㄠ	鏢
ㄅㄧㄠ	飆
ㄅㄧㄠ	膘
ㄅㄧㄠ	熛
ㄅㄧㄠ	麃
ㄅㄧㄠ	羆
ㄅㄧㄠ	嘌
ㄅㄧㄠ	杓
ㄅㄧㄠ	滮
ㄅㄧㄠ	瀌
ㄅㄧㄠ	猋
ㄅㄧㄠ	瘭
ㄅㄧㄠ	穮
ㄅㄧㄠ	颮
ㄅㄧㄠ	驫
ㄅㄧㄠ	摽
ㄅㄧㄠ	儦
ㄅㄧㄠ	臕
ㄅㄧㄠ	颩
ㄅㄧㄠ	髟
ㄅㄧㄠ	謤
ㄅㄧㄠ	墂
ㄅㄧㄠ	贆
ㄅㄧㄠ	蔈
ㄅㄧㄠ	爂
ㄅㄧㄠ	藨
ㄅㄧㄠˇ	表
ㄅㄧㄠˇ	錶
ㄅㄧㄠˇ	婊
ㄅㄧㄠˇ	裱
ㄅㄧㄠˇ	俵
ㄅㄧㄠˇ	褾
ㄅㄧㄠˇ	檦
ㄅㄧㄠˇ	諘
ㄅㄧㄠˋ	鰾
ㄅㄧㄣ	賓
ㄅㄧㄣ	濱
ㄅㄧㄣ	彬
ㄅㄧㄣ	檳
ㄅㄧㄣ	儐
ㄅㄧㄣ	斌
ㄅㄧㄣ	繽
ㄅㄧㄣ	豳
ㄅㄧㄣ	瀕
ㄅㄧㄣ	邠
ㄅㄧㄣ	璸
ㄅㄧㄣ	蠙
ㄅㄧㄣ	鑌
ㄅㄧㄣ	豩
ㄅㄧㄣ	汃
ㄅㄧㄣ	椕
ㄅㄧㄣ	霦
ㄅㄧㄣ	矉
ㄅㄧㄣ	驞
ㄅㄧㄣ	玢
ㄅㄧㄣˋ	殯
ㄅㄧㄣˋ	鬢
ㄅㄧㄣˋ	儐
ㄅㄧㄣˋ	擯
ㄅㄧㄣˋ	臏
ㄅㄧㄣˋ	髕
ㄅㄧㄣˋ	鶣
ㄉ	ㄉ
ㄉㄡ	都
ㄉㄡ	兜
ㄉㄡ	郖
ㄉㄡˇ	鬥
ㄉㄡˇ	斗
ㄉㄡˇ	抖
ㄉㄡˇ	陡
ㄉㄡˇ	蚪
ㄉㄡˇ	枓
ㄉㄡˇ	唗
ㄉㄡˇ	敨
ㄉㄡˋ	鬥
ㄉㄡˋ	豆
ㄉㄡˋ	逗
ㄉㄡˋ	痘
ㄉㄡˋ	竇
ㄉㄡˋ	荳
ㄉㄡˋ	脰
ㄉㄡˋ	餖
ㄉㄡˋ	鋀
ㄉㄡˋ	梪
ㄉㄡˋ	浢
ㄉㄡˋ	讀
ㄉㄡˋ	闘
ㄉㄡˋ	鬦
ㄉㄡˋ	鬪
ㄉㄡˋ	鬬
ㄉㄡˋ	鬭
ㄉㄥ	登
ㄉㄥ	燈
ㄉㄥ	鐙
ㄉㄥ	簦
ㄉㄥ	豋
ㄉㄥ	璒
ㄉㄥ	嬁
ㄉㄥˇ	等
ㄉㄥˇ	戥
ㄉㄥˋ	鄧
ㄉㄥˋ	瞪
ㄉㄥˋ	蹬
ㄉㄥˋ	凳
ㄉㄥˋ	嶝
ㄉㄥˋ	磴
ㄉㄥˋ	墱
ㄉㄥˋ	邆
ㄉㄥˋ	霯
ㄉㄢ	單
ㄉㄢ	擔
ㄉㄢ	丹
ㄉㄢ	耽
ㄉㄢ	簞
ㄉㄢ	鄲
ㄉㄢ	眈
ㄉㄢ	聃
ㄉㄢ	酖
ㄉㄢ	砃
ㄉㄢ	甔
ㄉㄢ	襌
ㄉㄢ	匰
ㄉㄢ	聸
ㄉㄢ	勯
ㄉㄢ	嚪
ㄉㄢ	殫
ㄉㄢˇ	膽
ㄉㄢˇ	疸
ㄉㄢˇ	撢
ㄉㄢˇ	亶
ㄉㄢˇ	紞
ㄉㄢˇ	刐
ㄉㄢˇ	撣
ㄉㄢˇ	玬
ㄉㄢˇ	衴
ㄉㄢˇ	黵
ㄉㄢˇ	丼
ㄉㄢˇ	澸
ㄉㄢˋ	但
ㄉㄢˋ	旦
ㄉㄢˋ	淡
ㄉㄢˋ	蛋
ㄉㄢˋ	誕
ㄉㄢˋ	擔
ㄉㄢˋ	彈
ㄉㄢˋ	憚
ㄉㄢˋ	氮
ㄉㄢˋ	啖
ㄉㄢˋ	澹
ㄉㄢˋ	憺
ㄉㄢˋ	儋
ㄉㄢˋ	啗
ㄉㄢˋ	噉
ㄉㄢˋ	石
ㄉㄢˋ	癉
ㄉㄢˋ	窞
ㄉㄢˋ	僤
ㄉㄢˋ	幨
ㄉㄢˋ	霮
ㄉㄢˋ	髧
ㄉㄢˋ	萏
ㄉㄢˋ	鉭
ㄉㄢˋ	暺
ㄉㄢˋ	柦
ㄉㄢˋ	帎
ㄉㄢˋ	潬
ㄉㄢˋ	沊
ㄉㄢˋ	狚
ㄉㄢˋ	觛
ㄉㄢˋ	啿
ㄉㄢˋ	舕
ㄉㄢˋ	蜑
ㄉㄢˋ	嘾
ㄉㄢˋ	鴠
ㄉㄢˋ	癚
ㄉㄢˋ	殫
ㄉㄢˋ	灗
ㄉㄢˋ	泹
ㄉㄚ	搭
ㄉㄚ	褡
ㄉㄚ	答
ㄉㄚ	撘
ㄉㄚ	瘩
ㄉㄚ	躂
ㄉㄚ	咑
ㄉㄚ	耷
ㄉㄚˇ	打
ㄉㄚˋ	大
ㄉㄚˊ	答
ㄉㄚˊ	達
ㄉㄚˊ	韃
ㄉㄚˊ	靼
ㄉㄚˊ	瘩
ㄉㄚˊ	怛
ㄉㄚˊ	繨
ㄉㄚˊ	噠
ㄉㄚˊ	妲
ㄉㄚˊ	笪
ㄉㄚˊ	荅
ㄉㄚˊ	薘
ㄉㄚˊ	褟
ㄉㄚˊ	鐽
ㄉㄚˊ	匒
ㄉㄚˊ	呾
ㄉㄚˊ	畣
ㄉㄚˊ	炟
ㄉㄚˊ	鎝
ㄉㄚˊ	打
ㄉㄞ	呆
ㄉㄞ	待
ㄉㄞ	獃
ㄉㄞˇ	歹
ㄉㄞˇ	逮
ㄉㄞˋ	代
ㄉㄞˋ	帶
ㄉㄞˋ	待
ㄉㄞˋ	袋
ㄉㄞˋ	戴
ㄉㄞˋ	怠
ㄉㄞˋ	殆
ㄉㄞˋ	黛
ㄉㄞˋ	貸
ㄉㄞˋ	迨
ㄉㄞˋ	大
ㄉㄞˋ	玳
ㄉㄞˋ	岱
ㄉㄞˋ	逮
ㄉㄞˋ	襶
ㄉㄞˋ	埭
ㄉㄞˋ	靆
ㄉㄞˋ	紿
ㄉㄞˋ	廗
ㄉㄞˋ	汏
ㄉㄞˋ	忕
ㄉㄞˋ	瀻
ㄉㄞˋ	軩
ㄉㄞˋ	跢
ㄉㄞˋ	艜
ㄉㄞˋ	蹛
ㄉㄞˋ	柋
ㄉㄞˋ	酨
ㄉㄤ	當
ㄉㄤ	噹
ㄉㄤ	鐺
ㄉㄤ	襠
ㄉㄤ	璫
ㄉㄤ	簹
ㄉㄤ	儅
ㄉㄤ	蟷
ㄉㄤ	澢
ㄉㄤ	艡
ㄉㄤ	嵣
ㄉㄤˇ	檔
ㄉㄤˇ	黨
ㄉㄤˇ	擋
ㄉㄤˇ	讜
ㄉㄤˇ	攩
ㄉㄤˇ	欓
ㄉㄤˇ	党
ㄉㄤˇ	當
ㄉㄤˋ	當
ㄉㄤˋ	蕩
ㄉㄤˋ	擋
ㄉㄤˋ	盪
ㄉㄤˋ	碭
ㄉㄤˋ	宕
ㄉㄤˋ	菪
ㄉㄤˋ	逿
ㄉㄤˋ	璗
ㄉㄤˋ	愓
ㄉㄤˋ	瓽
ㄉㄤˋ	礑
ㄉㄤˋ	簜
ㄉㄤˋ	闣
ㄉㄤˋ	氹
ㄉㄨ	都
ㄉㄨ	督
ㄉㄨ	嘟
ㄉㄨ	闍
ㄉㄨ	醏
ㄉㄨㄥ	東
ㄉㄨㄥ	冬
ㄉㄨㄥ	咚
ㄉㄨㄥ	鼕
ㄉㄨㄥ	苳
ㄉㄨㄥ	蝀
ㄉㄨㄥ	埬
ㄉㄨㄥ	崠
ㄉㄨㄥ	氡
ㄉㄨㄥ	炵
ㄉㄨㄥ	涷
ㄉㄨㄥ	菄
ㄉㄨㄥ	鶇
ㄉㄨㄥˇ	懂
ㄉㄨㄥˇ	董
ㄉㄨㄥˇ	嬞
ㄉㄨㄥˇ	墥
ㄉㄨㄥˋ	動
ㄉㄨㄥˋ	洞
ㄉㄨㄥˋ	凍
ㄉㄨㄥˋ	棟
ㄉㄨㄥˋ	恫
ㄉㄨㄥˋ	胴
ㄉㄨㄥˋ	挏
ㄉㄨㄥˋ	戙
ㄉㄨㄥˋ	駧
ㄉㄨㄥˋ	霘
ㄉㄨㄢ	端
ㄉㄨㄢ	耑
ㄉㄨㄢ	偳
ㄉㄨㄢ	剬
ㄉㄨㄢ	媏
ㄉㄨㄢˇ	短
ㄉㄨㄢˋ	段
ㄉㄨㄢˋ	斷
ㄉㄨㄢˋ	緞
ㄉㄨㄢˋ	鍛
ㄉㄨㄢˋ	毈
ㄉㄨㄢˋ	腶
ㄉㄨㄢˋ	籪
ㄉㄨㄢˋ	椴
ㄉㄨㄢˋ	葮
